,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,SPOT_IFC.Inhoud,Qto_SpaceBaseQuantities.GrossVolume,Pset_BuildingSystemCommon.Reference,Pset_AirSideSystemInformation.id,Pset_SpaceCommon.id,Pset_BuildingCommon.NumberOfStoreys,Pset_SpaceCommon.IsExternal,Qto_SpaceBaseQuantities.Height,Pset_BuildingElementProxyCommon.Reference,Pset_SpaceHeaterTypeCommon.Reference,Pset_BuildingStoreyCommon.Reference,Pset_SiteCommon.id,Pset_BuildingStoreyCommon.id,Qto_SpaceBaseQuantities.NetVolume,Pset_SpaceHeaterTypeCommon.id,Pset_AirSideSystemInformation.Name,Pset_BuildingStoreyCommon.AboveGround,Pset_BuildingCommon.id,Pset_BuildingSystemCommon.id,Pset_SpaceCommon.Reference,Pset_BuildingCommon.Reference,SPOT_IFC.Oppervlakte,Pset_BuildingCommon.IsLandmarked,Pset_BuildingElementProxyCommon.id,Qto_SpaceBaseQuantities.id,Pset_BuildingElementProxyCommon.IsExternal,SPOT_IFC.id,Pset_SiteCommon.Reference
4817,986047,2nyX1YPDX1rPAukSskC5NJ,IfcSpace,SPACE,meterkast A1-104,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-104,,,0.7798004295903354,,986125.0,986127.0,,False,2438.4,,meterkast 9477,,,,0.7798004295903371,986128.0,meterkast,,,,meterkast 9477,,0.319800044943543,,,986138.0,,986130.0,
4818,986150,2nyX1YPDX1rPAukSskC5NR,IfcSpace,SPACE,meterkast A1-103,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-103,,,0.8844076800012213,,986248.0,986250.0,,False,2438.4,,meterkast 9478,,,,0.8844076800012204,986251.0,meterkast,,,,meterkast 9478,,0.36270000000050084,,,986261.0,,986253.0,
4819,986273,2nyX1YPDX1rPAukSskC5N3,IfcSpace,SPACE,esco A1-103,,-5913.808671306053,99292.51637243737,53300.0,esco A1-103,,,0.9197644799987716,,986371.0,986373.0,,False,2438.4,,esco 9479,,,,0.9197644799987731,986374.0,esco,,,,esco 9479,,0.3771999999994962,,,986384.0,,986376.0,
4820,986396,2nyX1YPDX1rPAukSskC5NB,IfcSpace,SPACE,meterkast A1-100,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-100,,,0.7398105599967314,,986489.0,986491.0,,False,2438.4,,meterkast 9480,,,,0.7398105599967304,986492.0,meterkast,,,,meterkast 9480,,0.3033999999986595,,,986502.0,,986494.0,
4821,986514,2nyX1YPDX1rPAukSskC5Np,IfcSpace,SPACE,meterkast A1-102,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-102,,,0.88440768000166,,986612.0,986614.0,,False,2438.4,,meterkast 9481,,,,0.8844076800016566,986615.0,meterkast,,,,meterkast 9481,,0.36270000000068076,,,986625.0,,986617.0,
4822,986637,2nyX1YPDX1rPAukSskC5Nx,IfcSpace,SPACE,esco A1-102,,-5913.808671306053,99292.51637243737,53300.0,esco A1-102,,,0.9197644799987523,,986735.0,986737.0,,False,2438.4,,esco 9482,,,,0.9197644799987491,986738.0,esco,,,,esco 9482,,0.3771999999994883,,,986748.0,,986740.0,
4823,986760,2nyX1YPDX1rPAukSskC5NZ,IfcSpace,SPACE,technische ruimte A1-101,,-5913.808671306053,99292.51637243737,53300.0,technische ruimte A1-101,,,2.0794675202988095,,986858.0,986860.0,,False,2438.4,,technische ruimte 9483,,,,2.0794675202988167,986861.0,technische ruimte,,,,technische ruimte 9483,,0.8528000001225432,,,986871.0,,986863.0,
4824,986883,2nyX1YPDX1rPAukSskC5Nh,IfcSpace,SPACE,esco A1-101,,-5913.808671306053,99292.51637243737,53300.0,esco A1-101,,,0.7322515197695783,,986961.0,986963.0,,False,2438.4,,esco 9484,,,,0.7322515197695793,986964.0,esco,,,,esco 9484,,0.3002999999055029,,,986974.0,,986966.0,
4825,986986,2nyX1YPDX1rPAukSskC5KJ,IfcSpace,SPACE,meterkast A1-101,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-101,,,0.7798003197109978,,987064.0,987066.0,,False,2438.4,,meterkast 9485,,,,0.7798003197110017,987067.0,meterkast,,,,meterkast 9485,,0.3197999998814788,,,987077.0,,987069.0,
4826,987089,2nyX1YPDX1rPAukSskC5KR,IfcSpace,SPACE,meterkast A1-111,,-5913.808671306053,99292.51637243737,56300.0,meterkast A1-111,,,0.7398105599957834,,987182.0,987184.0,,False,2438.4,,meterkast 9486,,,,0.7398105599957836,987185.0,meterkast,,,,meterkast 9486,,0.3033999999982707,,,987195.0,,987187.0,
4827,987207,2nyX1YPDX1rPAukSskC5KP,IfcSpace,SPACE,esco A1-110,,-5913.808671306053,99292.51637243737,56300.0,esco A1-110,,,0.7322515199350671,,987275.0,987277.0,,False,2438.4,,esco 9488,,,,0.7322515199350649,987278.0,esco,,,,esco 9488,,0.3002999999733707,,,987288.0,,987280.0,
